Fleet Name,Log.Event Dt,Pumping Hours,Transition Time (hrs),NPT_int,Time Available (hrs),NPT_ext,Ranking Score,Daily_Rank
Frac 32,2024-01-01,19.675277775999998,0.392222222,0.0,20.271944442,0.018333334,0.9520798760860655,1.0
Frac 40,2024-01-01,18.1675,0.423055556,0.096111111,18.990833334,0.302777778,0.944364344386477,2.0
Frac 90,2024-01-01,11.516666665999999,0.933333333,0.333333333,12.783333332,0.0,0.8018252934343493,3.0
Frac 39,2024-01-01,14.626944444,1.876666667,0.537777778,17.895277777,0.984444444,0.7221702064302403,4.0
Frac 21,2024-01-01,12.647499999,2.629444445,2.213333334,17.881944445,0.566666666,0.45074195861100086,5.0
Frac 08,2024-01-01,13.79138889,3.05,2.135,19.469722222999998,0.0,0.442039634229249,6.0
Frac 18,2024-01-01,13.337777778,4.991111111,0.482222222,19.235555556,0.053333334,0.40998609827282184,7.0
Frac 38,2024-01-01,12.294722222,6.27,0.0,18.77611111,0.0,0.3208716750078926,8.0
Frac 10,2024-01-01,8.266388889,4.19,6.4925,19.019444444999998,0.0,-0.1270337373936897,9.0
Frac 32,2024-01-02,10.583611112,0.412222223,0.689722222,12.320555555999999,1.041666666,0.8406560929425025,1.0
Frac 38,2024-01-02,10.393888889,1.907222222,0.0,14.245277776,3.422222222,0.7841285323407109,2.0
Frac 90,2024-01-02,6.483333333,0.716666665,0.666666666,8.883333331,2.033333334,0.7445255480632959,3.0
Frac 40,2024-01-02,8.358333333000001,1.881666666,0.0,10.320833331,0.0,0.6275333065932253,4.0
Frac 08,2024-01-02,8.096666665999999,1.645277777,0.592777777,10.498888887,0.0,0.5580220130964797,5.0
Frac 10,2024-01-02,11.657222222000001,3.8474999999999997,0.0,16.976111111,0.0,0.46004188891880776,6.0
Frac 18,2024-01-02,8.135000001,3.276388888,0.0,11.904166665,0.482222222,0.4253751309373271,7.0
Frac 39,2024-01-02,8.889444445,10.610833333,0.25,19.849722223,0.0,-0.09931569146674199,8.0
Frac 21,2024-01-02,5.005277778,0.5,0.0,22.703055555,34.315,-0.3879865081459232,9.0
Frac 90,2024-01-03,7.933333333,2.166666667,0.6333333329999999,18.799999999,16.133333332,1.9249999996343745,1.0
Frac 32,2024-01-03,11.246111111,0.814722222,0.085277778,12.207222222,0.0,0.8475401629335554,2.0
Frac 39,2024-01-03,10.420277776999999,0.7413888900000001,0.0,11.918611111,0.425,0.8421103510050715,3.0
